totalyearlycompensation,yearsofexperience,yearsatcompany,is_female,is_faang,Data Scientist,Hardware Engineer,Product Designer,Product Manager,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager,education_enc,CA,MA,NY,WA
210000,7.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
405000,15.0,3.0,0,1,0,0,0,0,1,0,0,0,4.0,0,0,0,1
225000,0.0,0.0,0,0,1,0,0,0,0,0,0,0,3.0,1,0,0,0
238000,10.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
238000,14.0,2.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
550000,13.0,3.0,0,0,0,0,0,0,0,1,0,0,3.0,0,0,0,1
230000,8.0,6.0,0,0,1,0,0,0,0,0,0,0,3.0,1,0,0,0
610000,18.0,4.0,1,1,0,0,0,0,0,1,0,0,3.0,0,0,0,1
243000,8.0,7.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
120000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
186000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
175000,2.0,11.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
175000,9.0,6.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
120000,5.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
167000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
235000,20.0,9.0,0,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0
165000,1.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
116000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
271000,4.0,4.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
180000,3.0,3.0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0
105000,4.0,4.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
162000,5.0,5.0,0,0,0,1,0,0,0,0,0,0,3.0,0,0,0,0
111000,1.0,1.0,0,0,1,0,0,0,0,0,0,0,4.0,0,0,0,0
169000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
160000,1.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
445000,8.0,3.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
186000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
281000,5.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
153000,5.0,1.5,0,0,0,0,1,0,0,0,0,0,3.0,0,0,0,1
307000,21.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
155000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
153000,0.0,0.0,1,1,0,1,0,0,0,0,0,0,2.0,1,0,0,0
245000,6.0,3.0,0,0,0,0,0,1,0,0,0,0,4.0,1,0,0,0
270000,15.0,15.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
302000,8.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
200000,12.0,4.0,0,0,0,0,0,0,0,1,0,0,3.0,0,0,0,0
570000,17.0,2.0,0,0,0,0,0,0,0,1,0,0,3.0,1,0,0,0
140000,1.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
140000,1.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
160000,2.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
245000,9.0,7.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
150000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
160000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
293000,11.0,3.0,0,1,0,0,0,1,0,0,0,0,3.0,1,0,0,0
182000,10.0,7.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
305000,10.0,2.0,0,1,0,1,0,0,0,0,0,0,3.0,1,0,0,0
250000,12.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
316000,11.0,0.0,1,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0
178000,2.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
180000,7.0,2.5,0,1,0,1,0,0,0,0,0,0,3.0,0,0,0,0
246000,1.0,1.0,1,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
215000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
155000,2.0,2.0,0,1,0,1,0,0,0,0,0,0,3.0,1,0,0,0
280000,23.0,6.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
120000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
124000,4.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
115000,2.0,2.0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
286000,7.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
155000,3.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
475000,25.0,4.0,1,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
370000,8.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
142000,10.0,0.0,0,0,0,0,0,1,0,0,0,0,3.0,0,1,0,0
240000,14.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,1
225000,2.0,9.0,1,0,0,0,1,0,0,0,0,0,3.0,1,0,0,0
180000,3.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
515000,10.0,3.0,1,0,0,0,0,0,0,1,0,0,3.0,1,0,0,0
90000,3.0,1.0,0,0,1,0,0,0,0,0,0,0,3.0,0,0,0,0
450000,14.0,4.0,0,1,0,0,0,0,0,1,0,0,3.0,0,0,0,1
152000,10.0,4.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
194000,4.0,0.0,0,1,0,0,0,1,0,0,0,0,3.0,0,0,0,1
270000,8.0,2.0,0,0,0,0,0,1,0,0,0,0,3.0,1,0,0,0
230000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
169000,15.0,10.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
170000,4.0,6.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
451000,22.0,8.0,0,1,0,0,0,0,0,1,0,0,3.0,0,0,0,1
430000,11.0,5.0,0,0,0,0,0,0,0,0,1,0,3.0,1,0,0,0
272000,21.0,6.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
255000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
169000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
245000,8.0,1.0,0,1,1,0,0,0,0,0,0,0,3.0,1,0,0,0
193000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
179000,7.0,1.0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1
134000,15.0,13.0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
135000,3.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0
172000,0.0,0.0,1,1,0,0,0,0,1,0,0,0,3.0,0,0,1,0
158000,6.0,1.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
180000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
205000,0.0,0.0,1,0,0,0,0,0,1,0,0,0,4.0,1,0,0,0
139000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
135000,5.0,1.0,1,0,1,0,0,0,0,0,0,0,3.0,0,1,0,0
228000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
214000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
230000,0.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
323000,8.0,8.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,1,0
280000,7.0,7.0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
